id	label	source	weight	destination
e001	1	-100	1	2.000000_S1
e002	e002	-1024.000000_S1	1/(G3+gdsP4S1+s.CgsP4S1+s.CdsP4S1+gdsP5S1+s.CgsP5S1+s.CdsP5S1+gdsP8S1+s.CgsP8S1+s.CdsP8S1+gdsP7S1+s.CgsP7S1+s.CdsP7S1)	1024.000000_S1
e003	e003	-16.000000_S1	1/(gdsM0S1+s.CdsM0S1+s.CgsP4S1+gmP4S1+gdsP4S1+s.CgsP5S1)	16.000000_S1
e004	e004	-2048.000000_S1	1/(s.CgsM6S1+s.CgsM10S1+gmM10S1+gdsM10S1+gdsP5S1+s.CdsP5S1)	2048.000000_S1
e005	e005	-256.000000_S1	1/(gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM1S1+s.CgsM1S1+s.CdsM1S1+gdsM2S1+s.CdsM2S1)	256.000000_S1
e006	1/(G1+s.CgsM0S1)	-4.000000_S1	1/(G1+s.CgsM0S1)	4.000000_S1
e007	e007	-4096.000000_S1	1/(G3+s.CgsM2S1+s.CgsM3S1+gmM3S1+gdsM3S1)	4096.000000_S1
e008	e008	-512.000000_S1	1/(gdsM1S1+s.CdsM1S1+s.CgsP8S1+gmP8S1+gdsP8S1+s.CgsP7S1)	512.000000_S1
e009	1/(G2+s.CgsM1S1)	-8.000000_S1	1/(G2+s.CgsM1S1)	8.000000_S1
e010	e010	-8192.000000_S1	1/(+gdsM6S1+s.CdsM6S1+gdsP7S1+s.CdsP7S1)	8192.000000_S1
e011	gmP4S1	1024.000000_S1	gmP4S1	-16.000000_S1
e012	gmP5S1	1024.000000_S1	gmP5S1	-2048.000000_S1
e013	G3	1024.000000_S1	G3	-4096.000000_S1
e014	gmP8S1	1024.000000_S1	gmP8S1	-512.000000_S1
e015	gmP7S1	1024.000000_S1	gmP7S1	-8192.000000_S1
e016	gmP4S1	16.000000_S1	gmP4S1	-1024.000000_S1
e017	-gmP5S1	16.000000_S1	-gmP5S1	-2048.000000_S1
e018	G1	2.000000_S1	G1	-4.000000_S1
e019	G2	2.000000_S1	G2	-8.000000_S1
e020	-gmM6S1	2048.000000_S1	-gmM6S1	-8192.000000_S1
e021	gmM0S1	256.000000_S1	gmM0S1	-16.000000_S1
e022	gmM1S1	256.000000_S1	gmM1S1	-512.000000_S1
e023	-gmM0S1	4.000000_S1	-gmM0S1	-16.000000_S1
e024	gmM0S1	4.000000_S1	gmM0S1	-256.000000_S1
e025	G3	4096.000000_S1	G3	-1024.000000_S1
e026	-gmM2S1	4096.000000_S1	-gmM2S1	-256.000000_S1
e027	gmP8S1	512.000000_S1	gmP8S1	-1024.000000_S1
e028	-gmP7S1	512.000000_S1	-gmP7S1	-8192.000000_S1
e029	gmM1S1	8.000000_S1	gmM1S1	-256.000000_S1
e030	-gmM1S1	8.000000_S1	-gmM1S1	-512.000000_S1
e031	1	8192.000000_S1	1	100
