id	label	source	weight	destination
e001	1	-100	1	10.000000_S1
e002	1	-100	1	2.000000_S2
e003	(1/(+C1+C0))	-4.000000_S2	(1/(+C1+C0))	4.000000_S2
e004	(1/(+C3+C2+C1+C0))	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1
e005	C1	10.000000_S1	C1	-52.000000_S1
e006	C2	10.000000_S1	C2	-52.000000_S1
e007	-z^-1C1	10.000000_S1	-z^-1C1	-4.000000_S2
e008	1	128.000000_S2	1	100
e009	C0	128.000000_S2	C0	-4.000000_S2
e010	-z^-1C0	128.000000_S2	-z^-1C0	-52.000000_S1
e011	1	192.000000_S1	1	100
e012	C3	192.000000_S1	C3	-52.000000_S1
e013	C0	192.000000_S1	C0	-52.000000_S1
e014	-z^-1C0	192.000000_S1	-z^-1C0	-4.000000_S2
e015	C1	2.000000_S2	C1	-4.000000_S2
e016	-z^-1C1	2.000000_S2	-z^-1C1	-52.000000_S1
e017	OP-	4.000000_S2	OP-	128.000000_S2
e018	z^-1C1	4.000000_S2	z^-1C1	-52.000000_S1
e019	z^-1C0	4.000000_S2	z^-1C0	-52.000000_S1
e020	OP-	52.000000_S1	OP-	192.000000_S1
e021	z^-1C1	52.000000_S1	z^-1C1	-4.000000_S2
e022	z^-1C0	52.000000_S1	z^-1C0	-4.000000_S2
