id	label	source	weight	destination
e001	1	-100	1	2.000000_S2
e002	1	-100	1	6.000000_S1
e003	e003	-12.000000_S2	1/(s.C1+s.C2+s.CgsM2S2)	12.000000_S2
e004	e004	-128.000000_S1	1/(gdsM1S1+s.CgsM1S1+s.CdsM1S1+gdsM2S1+s.CgsM2S1+s.CdsM2S1+gdsM4S1+s.CdsM4S1)	128.000000_S1
e005	e005	-128.000000_S2	1/(gdsM1S2+s.CgsM1S2+s.CdsM1S2+gdsM2S2+s.CgsM2S2+s.CdsM2S2+gdsM4S2+s.CdsM4S2)	128.000000_S2
e006	e006	-16.000000_S2	1/(s.C2+gdsM2S2+s.CdsM2S2+gdsP6S2+s.CdsP6S2)	16.000000_S2
e007	e007	-256.000000_S1	1/(gdsM1S1+s.CdsM1S1+s.CgsP5S1+gmP5S1+gdsP5S1+s.CgsP6S1)	256.000000_S1
e008	e008	-256.000000_S2	1/(gdsM1S2+s.CdsM1S2+s.CgsP5S2+gmP5S2+gdsP5S2+s.CgsP6S2)	256.000000_S2
e009	e009	-32.000000_S1	1/(G1+gdsP5S1+s.CgsP5S1+s.CdsP5S1+gdsP6S1+s.CgsP6S1+s.CdsP6S1)	32.000000_S1
e010	e010	-32.000000_S2	1/(G1+gdsP5S2+s.CgsP5S2+s.CdsP5S2+gdsP6S2+s.CgsP6S2+s.CdsP6S2)	32.000000_S2
e011	1/()	-512.000000_S2	1/()	512.000000_S2
e012	e012	-528.000000_S1	1/(s.C2+gdsM2S1+s.CdsM2S1)	528.000000_S1
e013	e013	-64.000000_S1	1/(G1+s.CgsM3S1+gmM3S1+gdsM3S1+s.CgsM4S1)	64.000000_S1
e014	e014	-64.000000_S2	1/(G1+s.CgsM3S2+gmM3S2+gdsM3S2+s.CgsM4S2)	64.000000_S2
e015	1/(s.C2+s.CgsM2S1)	-8.000000_S1	1/(s.C2+s.CgsM2S1)	8.000000_S1
e016	gmM2S2	12.000000_S2	gmM2S2	-128.000000_S2
e017	C2	12.000000_S2	C2	-16.000000_S2
e018	z^-1C2	12.000000_S2	z^-1C2	-8.000000_S1
e019	gmM1S1	128.000000_S1	gmM1S1	-256.000000_S1
e020	gmM2S1	128.000000_S1	gmM2S1	-528.000000_S1
e021	gmM2S2	128.000000_S2	gmM2S2	-16.000000_S2
e022	gmM1S2	128.000000_S2	gmM1S2	-256.000000_S2
e023	C2	16.000000_S2	C2	-12.000000_S2
e024	gmP5S1	256.000000_S1	gmP5S1	-32.000000_S1
e025	-gmP6S1	256.000000_S1	-gmP6S1	-528.000000_S1
e026	-gmP6S2	256.000000_S2	-gmP6S2	-16.000000_S2
e027	gmP5S2	256.000000_S2	gmP5S2	-32.000000_S2
e028	gmP5S1	32.000000_S1	gmP5S1	-256.000000_S1
e029	gmP6S1	32.000000_S1	gmP6S1	-528.000000_S1
e030	G1	32.000000_S1	G1	-64.000000_S1
e031	gmP6S2	32.000000_S2	gmP6S2	-16.000000_S2
e032	gmP5S2	32.000000_S2	gmP5S2	-256.000000_S2
e033	G1	32.000000_S2	G1	-64.000000_S2
e034	1	512.000000_S2	1	100
e035	z^-1C2	528.000000_S1	z^-1C2	-12.000000_S2
e036	C2	528.000000_S1	C2	-8.000000_S1
e037	1	528.000000_S1	1	100
e038	z^-1C1	6.000000_S1	z^-1C1	-12.000000_S2
e039	-gmM4S1	64.000000_S1	-gmM4S1	-128.000000_S1
e040	G1	64.000000_S1	G1	-32.000000_S1
e041	-gmM4S2	64.000000_S2	-gmM4S2	-128.000000_S2
e042	G1	64.000000_S2	G1	-32.000000_S2
e043	gmM2S1	8.000000_S1	gmM2S1	-128.000000_S1
e044	C2	8.000000_S1	C2	-528.000000_S1
