source	weight	destination
-100	1	2.000000_S1
-1024.000000_S1	1/(s.CgsM5S1+s.CgsM4S1+s.CgsM6S1)	1024.000000_S1
-128.000000_S1	1/(s.C1+G4)	128.000000_S1
-16.000000_S1	1/(gdsM0S1+s.CdsM0S1+s.CgsP2S1+gmP2S1+gdsP2S1+s.CgsP3S1)	16.000000_S1
-2048.000000_S1	1/(G3+gdsM4S1+s.CdsM4S1)	2048.000000_S1
-256.000000_S1	1/(G4+G5+gdsM6S1+s.CdsM6S1+gdsP7S1+s.CdsP7S1)	256.000000_S1
-32.000000_S1	1/(G3+gdsP2S1+s.CgsP2S1+s.CdsP2S1+gdsP3S1+s.CgsP3S1+s.CdsP3S1+gdsP7S1+s.CgsP7S1+s.CdsP7S1)	32.000000_S1
-4.000000_S1	1/(G1+s.CgsM1S1)	4.000000_S1
-512.000000_S1	1/(+gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM1S1+s.CgsM1S1+s.CdsM1S1+gdsM5S1+s.CdsM5S1)	512.000000_S1
-64.000000_S1	1/(s.C1+gdsM1S1+s.CdsM1S1+gdsP3S1+s.CdsP3S1+s.CgsP7S1)	64.000000_S1
-8.000000_S1	1/(G2+s.CgsM0S1)	8.000000_S1
1024.000000_S1	-gmM4S1	-2048.000000_S1
1024.000000_S1	-gmM6S1	-256.000000_S1
1024.000000_S1	-gmM5S1	-512.000000_S1
128.000000_S1	z^-1G4	-128.000000_S1
128.000000_S1	G4	-256.000000_S1
128.000000_S1	C1	-64.000000_S1
16.000000_S1	gmP2S1	-32.000000_S1
16.000000_S1	-gmP3S1	-64.000000_S1
2.000000_S1	G1	-4.000000_S1
2.000000_S1	G2	-8.000000_S1
2048.000000_S1	G3	-32.000000_S1
256.000000_S1	G4	-128.000000_S1
32.000000_S1	gmP2S1	-16.000000_S1
32.000000_S1	G3	-2048.000000_S1
32.000000_S1	gmP7S1	-256.000000_S1
32.000000_S1	gmP3S1	-64.000000_S1
4.000000_S1	gmM1S1	-512.000000_S1
4.000000_S1	-gmM1S1	-64.000000_S1
512.000000_S1	gmM0S1	-16.000000_S1
512.000000_S1	gmM1S1	-64.000000_S1
512.000000_S1	1	100
64.000000_S1	C1	-128.000000_S1
64.000000_S1	-gmP7S1	-256.000000_S1
64.000000_S1	gmP7S1	-32.000000_S1
8.000000_S1	-gmM0S1	-16.000000_S1
8.000000_S1	gmM0S1	-512.000000_S1
