id	label	source	weight	destination
e001	1	-100	1	2.000000_S2
e002	1	-100	1	6.000000_S1
e003	(1/(+C1+C2))	-12.000000_S2	(1/(+C1+C2))	12.000000_S2
e004	(1/())	-32.000000_S2	(1/())	32.000000_S2
e005	(1/(+C2))	-8.000000_S1	(1/(+C2))	8.000000_S1
e006	OP-	12.000000_S2	OP-	16.000000_S2
e007	z^-1C2	12.000000_S2	z^-1C2	-8.000000_S1
e008	C2	16.000000_S2	C2	-12.000000_S2
e009	-z^-1C2	16.000000_S2	-z^-1C2	-8.000000_S1
e010	1	32.000000_S2	1	100
e011	1	48.000000_S1	1	100
e012	C2	48.000000_S1	C2	-8.000000_S1
e013	-z^-1C2	48.000000_S1	-z^-1C2	-12.000000_S2
e014	z^-1C1	6.000000_S1	z^-1C1	-12.000000_S2
e015	OP-	8.000000_S1	OP-	48.000000_S1
e016	z^-1C2	8.000000_S1	z^-1C2	-12.000000_S2
