id	label	source	weight	destination
e001	1	-100	1	16390.000000_S1
e002	1	-100	1	2.000000_S2
e003	(1/(+C1))	-16.000000_S2	(1/(+C1))	16.000000_S2
e004	(1/(+C2+C23))	-256.000000_S2	(1/(+C2+C23))	256.000000_S2
e005	e005	-35200.000000_S1	(1/(+C22+C26+C25+C2+C23))	35200.000000_S1
e006	(1/(+C14+C11+C1))	-8216.000000_S1	(1/(+C14+C11+C1))	8216.000000_S1
e007	OP-	16.000000_S2	OP-	32.000000_S2
e008	z^-1C1	16.000000_S2	z^-1C1	-8216.000000_S1
e009	C11	16390.000000_S1	C11	-8216.000000_S1
e010	C22	16390.000000_S1	C22	-35200.000000_S1
e011	C23	16390.000000_S1	C23	-35200.000000_S1
e012	-z^-1C23	16390.000000_S1	-z^-1C23	-256.000000_S2
e013	C23	2.000000_S2	C23	-256.000000_S2
e014	-z^-1C23	2.000000_S2	-z^-1C23	-35200.000000_S1
e015	OP-	256.000000_S2	OP-	512.000000_S2
e016	z^-1C2	256.000000_S2	z^-1C2	-35200.000000_S1
e017	z^-1C23	256.000000_S2	z^-1C23	-35200.000000_S1
e018	C1	32.000000_S2	C1	-16.000000_S2
e019	-z^-1C1	32.000000_S2	-z^-1C1	-8216.000000_S1
e020	OP-	35200.000000_S1	OP-	5632.000000_S1
e021	z^-1C2	35200.000000_S1	z^-1C2	-256.000000_S2
e022	z^-1C23	35200.000000_S1	z^-1C23	-256.000000_S2
e023	1	512.000000_S2	1	100
e024	C2	512.000000_S2	C2	-256.000000_S2
e025	-z^-1C2	512.000000_S2	-z^-1C2	-35200.000000_S1
e026	1	5632.000000_S1	1	100
e027	C2	5632.000000_S1	C2	-35200.000000_S1
e028	C26	5632.000000_S1	C26	-35200.000000_S1
e029	C14	5632.000000_S1	C14	-8216.000000_S1
e030	-z^-1C2	5632.000000_S1	-z^-1C2	-256.000000_S2
e031	OP-	8216.000000_S1	OP-	96.000000_S1
e032	z^-1C1	8216.000000_S1	z^-1C1	-16.000000_S2
e033	C1	96.000000_S1	C1	-8216.000000_S1
e034	C25	96.000000_S1	C25	-35200.000000_S1
e035	-z^-1C1	96.000000_S1	-z^-1C1	-16.000000_S2
