id	label	source	weight	destination
e001	1	-100	1	2.000000_S2
e002	1	-100	1	2.000000_S3
e003	1	-100	1	2.000000_S4
e004	1	-100	1	6.000000_S1
e005	(1/(+C0+C2))	-12.000000_S2	(1/(+C0+C2))	12.000000_S2
e006	(1/(+C1))	-32.000000_S2	(1/(+C1))	32.000000_S2
e007	(1/(+C1))	-32.000000_S3	(1/(+C1))	32.000000_S3
e008	(1/(+C0+C1))	-36.000000_S4	(1/(+C0+C1))	36.000000_S4
e009	(1/(+C2))	-8.000000_S1	(1/(+C2))	8.000000_S1
e010	(1/(+C2))	-8.000000_S3	(1/(+C2))	8.000000_S3
e011	(1/(+C2))	-8.000000_S4	(1/(+C2))	8.000000_S4
e012	OP-	12.000000_S2	OP-	16.000000_S2
e013	z^-1C2	12.000000_S2	z^-1C2	-8.000000_S3
e014	C2	16.000000_S2	C2	-12.000000_S2
e015	-z^-1C2	16.000000_S2	-z^-1C2	-8.000000_S3
e016	C2	16.000000_S4	C2	-8.000000_S4
e017	-z^-1C2	16.000000_S4	-z^-1C2	-8.000000_S1
e018	C2	20.000000_S3	C2	-8.000000_S3
e019	z^-1C0	20.000000_S3	z^-1C0	-36.000000_S4
e020	-z^-1C2	20.000000_S3	-z^-1C2	-8.000000_S4
e021	1	32.000000_S2	1	100
e022	z^-1C1	32.000000_S2	z^-1C1	-32.000000_S3
e023	1	32.000000_S3	1	100
e024	z^-1C1	32.000000_S3	z^-1C1	-36.000000_S4
e025	1	36.000000_S4	1	100
e026	1	48.000000_S1	1	100
e027	C2	48.000000_S1	C2	-8.000000_S1
e028	-z^-1C2	48.000000_S1	-z^-1C2	-12.000000_S2
e029	z^-1C1	48.000000_S1	z^-1C1	-32.000000_S2
e030	z^-1C0	6.000000_S1	z^-1C0	-12.000000_S2
e031	OP-	8.000000_S1	OP-	48.000000_S1
e032	z^-1C2	8.000000_S1	z^-1C2	-12.000000_S2
e033	OP-	8.000000_S3	OP-	20.000000_S3
e034	z^-1C2	8.000000_S3	z^-1C2	-8.000000_S4
e035	OP-	8.000000_S4	OP-	16.000000_S4
e036	z^-1C2	8.000000_S4	z^-1C2	-8.000000_S1
