id	label	source	weight	destination
e001	1	-100	1	2.000000_S1
e002	e002	-128.000000_S1	1/(gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM2S1+s.CgsM2S1+s.CdsM2S1+gdsM4S1+s.CdsM4S1)	128.000000_S1
e003	e003	-16.000000_S1	1/(gdsM0S1+s.CdsM0S1+s.CgsP1S1+gmP1S1+gdsP1S1+s.CgsP3S1)	16.000000_S1
e004	1/(G3+s.CgsM0S1)	-256.000000_S1	1/(G3+s.CgsM0S1)	256.000000_S1
e005	e005	-32.000000_S1	1/(G1+gdsP1S1+s.CgsP1S1+s.CdsP1S1+gdsP3S1+s.CgsP3S1+s.CdsP3S1)	32.000000_S1
e006	1/(G2+s.CgsM2S1)	-4.000000_S1	1/(G2+s.CgsM2S1)	4.000000_S1
e007	e007	-64.000000_S1	1/(G1+s.CgsM5S1+gmM5S1+gdsM5S1+s.CgsM4S1)	64.000000_S1
e008	e008	-8.000000_S1	1/(+gdsM2S1+s.CdsM2S1+gdsP3S1+s.CdsP3S1)	8.000000_S1
e009	gmM0S1	128.000000_S1	gmM0S1	-16.000000_S1
e010	gmM2S1	128.000000_S1	gmM2S1	-8.000000_S1
e011	gmP1S1	16.000000_S1	gmP1S1	-32.000000_S1
e012	-gmP3S1	16.000000_S1	-gmP3S1	-8.000000_S1
e013	G3	2.000000_S1	G3	-256.000000_S1
e014	G2	2.000000_S1	G2	-4.000000_S1
e015	gmM0S1	256.000000_S1	gmM0S1	-128.000000_S1
e016	-gmM0S1	256.000000_S1	-gmM0S1	-16.000000_S1
e017	gmP1S1	32.000000_S1	gmP1S1	-16.000000_S1
e018	G1	32.000000_S1	G1	-64.000000_S1
e019	gmP3S1	32.000000_S1	gmP3S1	-8.000000_S1
e020	gmM2S1	4.000000_S1	gmM2S1	-128.000000_S1
e021	-gmM2S1	4.000000_S1	-gmM2S1	-8.000000_S1
e022	-gmM4S1	64.000000_S1	-gmM4S1	-128.000000_S1
e023	G1	64.000000_S1	G1	-32.000000_S1
e024	1	8.000000_S1	1	100
